,pGM,ionS,D,ST
0,603.6491149958194,0.0219558866363006,98.53658536585364,0.5688954643304287
1,1020.5181141452956,0.0361932581272576,94.4390243902439,0.22130983184792047
2,1659.4593999206706,0.0565652267720326,89.7560975609756,-0.07062368349970664
3,2366.191482049101,0.0778894470719516,73.5609756097561,-0.26628777794004566
4,2934.3746940741157,0.0944963306706676,57.5609756097561,-0.37728737356032366
5,3229.566819636322,0.103048475946417,53.07317073170732,-0.4240400676008157
6,3585.000944594893,0.1131260327961546,43.90243902439025,-0.47472936995999115
7,3890.8567646954216,0.1217307991803888,36.09756097560975,-0.5134797097579865
8,4376.635194725045,0.1354285315140714,24.975609756097555,-0.5660383646931759
9,5102.67620068136,0.1557728068420386,11.121951219512212,-0.6313684167411957
10,5570.067037068842,0.1687422818013204,6.048780487804876,-0.6674135075421904
11,5943.548034785416,0.1791732294529522,4.097560975609767,-0.692603825175241
12,6294.257643950115,0.1889852761600108,2.9268292682926784,-0.7140498807278147
13,7463.224853376733,0.221764749248395,1.5609756097560847,-0.7733203617296545
14,8464.267755284376,0.250029309703686,0.0,-0.8129540388804891
15,9911.209843366374,0.291448020521071,0.0,-0.8564360125879147
