,pGM,ionS,D
0,370.02902004961936,0.0244903499382726,99.61538461538464
1,683.9358938441205,0.038532677143527,98.46153846153848
2,916.7545298033021,0.0478583294591064,97.5
3,1214.595076698997,0.0590405669791952,93.0769230769231
4,1532.4578649735736,0.070479765745335,88.0769230769231
5,1831.655624819066,0.080868182425668,79.61538461538464
6,2129.1717062777075,0.0909846835553372,72.69230769230771
7,2450.4520695653414,0.1016911052577234,64.80769230769232
8,2745.891157220659,0.1114416643620142,57.307692307692335
9,3023.7604908550734,0.120526686268358,48.84615384615387
10,3332.0761643059086,0.1303797931098786,44.230769230769255
11,3602.5251242325826,0.1391871746184774,38.26923076923079
12,3893.5294070984833,0.1485942031423168,32.8846153846154
13,4178.233366339371,0.157594952655992,27.115384615384627
14,4473.84511210474,0.1671356228529126,20.769230769230788
15,4749.180017173357,0.176128464706912,18.07692307692309
16,5356.818518991505,0.1955547187252508,9.230769230769257
17,5597.269770887009,0.2034081796939802,8.461538461538481
18,5887.142738420942,0.21294016322333,5.000000000000028
19,6412.311868716599,0.2303990428313542,4.423076923076948
20,6882.076568009845,0.246027643940699,3.269230769230788
21,7167.879446270592,0.2559000108968248,1.923076923076934
22,7827.377686617958,0.2787178275228928,2.1153846153846416
