,pGM,ionS,D
0,459.3947158596035,0.0220444971003656,97.69230769230772
1,776.2479939792923,0.0340053895414054,95.3846153846154
2,1188.7022313633497,0.047840194323176,90.5769230769231
3,1476.2147754048233,0.0567419288614422,87.69230769230771
4,1768.075829255272,0.0655442205611408,81.92307692307693
5,2232.3542020455343,0.0787384927826366,72.11538461538464
6,2592.9442573313945,0.088580179102461,63.46153846153849
7,3107.313921537549,0.1023021032138524,54.230769230769255
8,3510.8167433668987,0.112860871993027,48.46153846153848
9,3813.433191520906,0.1204898938787572,43.26923076923079
10,4306.651736054056,0.132904864667717,34.61538461538463
11,4673.300323234982,0.14187535067949,27.692307692307708
12,5148.899790799429,0.1534624098257838,21.73076923076925
13,5485.735709120947,0.1616889120796584,15.576923076923094
14,5992.098598568111,0.1737672626502126,11.538461538461547
15,6485.920916078397,0.185540700241975,9.03846153846156
16,7247.052372868717,0.2033889073994302,6.730769230769241
17,7890.07075070598,0.2186076112034318,4.807692307692321
18,8657.75907065983,0.2365187120332564,3.269230769230788
19,9867.963555739516,0.2644423862142288,1.7307692307692548
20,10794.084302274694,0.2861269249872098,1.3461538461538538
21,11966.749594642768,0.3136874139911596,1.1538461538461746
22,12969.905556739739,0.3371734720625816,0.0
