,pGM,ionS,D
0,185.35090842775844,0.0020208018688372,96.0282243139276
1,372.6703796110492,0.0061068063514708,94.87764620079456
2,578.93288186533,0.0123152014775016,93.06277949446287
3,802.1907573840394,0.0205641307185736,90.57835989701717
4,1025.2336039768309,0.0300154931764792,85.40059387860856
5,1225.9088485987886,0.0393204687812572,82.47265718179099
6,1405.380645594184,0.048163596122982,77.29916840543865
7,1585.0839952412039,0.0574227685610164,72.5757771008524
8,1741.5732129317616,0.0657724870688268,64.48257709317532
9,1915.8889361286544,0.0753325149274092,56.838816520024885
10,2069.792162360731,0.0839797744073564,49.86987313590387
11,2216.17510039612,0.092365632724824,42.90125877040258
12,2305.091825844612,0.0975241136514628,39.30442721971039
13,2494.970800944343,0.1086967379769916,34.13324157369604
14,2597.118689249073,0.1147904746301908,28.738652284897228
15,2676.9655018344815,0.1195839396656864,24.692710318298083
16,2843.3873505119664,0.129678172655468,23.567137620263168
17,2961.4993178230397,0.1369101299054104,20.64446522136097
18,3117.2825039007657,0.1465374239896304,15.923706065732432
19,3350.4541613548527,0.1611089804617836,12.325887459181104
20,3718.834711982793,0.1844749117477968,7.154043775927335
21,4177.625405464054,0.214075780183302,2.880749943107176
22,4360.203660907505,0.225980222641768,1.3063958477850122
23,4751.3383937214,0.2517355890817504,0.8543242643006579
24,5015.847205685039,0.269301171492476,0.6279594539387574
25,5534.316203115297,0.3040514126516832,0.6249982863613468
26,5848.193385492869,0.325275697830666,0.1739137587361199
27,6181.731039014066,0.3479639677933796,0.17226866563756
