,Exp. No.,Salt,Concentration (mol/l),FP position,Gas flow (l/min),Date,PP Timestamp,FP Timestamp,Datetime,Comment,Ignore
58,58.0,NaCl,0.01,3.0,100.0,20250326,155836,155833,2025-03-26T15:58:33,,False
59,59.0,NaCl,0.01,5.0,100.0,20250326,160925,160923,2025-03-26T16:09:23,,False
60,60.0,NaCl,0.01,7.0,100.0,20250326,162530,162528,2025-03-26T16:25:28,,False
61,61.0,NaCl,0.01,9.0,100.0,20250326,163654,163652,2025-03-26T16:36:52,,False
62,62.0,NaCl,0.02,1.0,100.0,20250327,91203,91201,2025-03-27T09:12:01,,False
63,63.0,NaCl,0.02,3.0,100.0,20250327,92622,92619,2025-03-27T09:26:19,,False
64,64.0,NaCl,0.02,5.0,100.0,20250327,94046,94043,2025-03-27T09:40:43,,False
65,65.0,NaCl,0.02,7.0,100.0,20250327,95143,95137,2025-03-27T09:51:37,,False
66,66.0,NaCl,0.02,9.0,100.0,20250327,100227,100224,2025-03-27T10:02:24,,False
67,67.0,NaCl,0.037,1.0,100.0,20250327,101646,101642,2025-03-27T10:16:42,,False
68,68.0,NaCl,0.037,3.0,100.0,20250327,102946,102944,2025-03-27T10:29:44,,False
69,69.0,NaCl,0.037,5.0,100.0,20250327,104052,104050,2025-03-27T10:40:50,,False
70,70.0,NaCl,0.037,7.0,100.0,20250327,105249,105247,2025-03-27T10:52:47,,False
71,71.0,NaCl,0.037,9.0,100.0,20250327,110557,110215,2025-03-27T11:02:15,"FP: Use PP 110557.
PP: nan",False
72,72.0,NaCl,0.072,1.0,100.0,20250327,111656,111654,2025-03-27T11:16:54,,False
73,73.0,NaCl,0.072,3.0,100.0,20250327,112915,112912,2025-03-27T11:29:12,,False
74,74.0,NaCl,0.072,5.0,100.0,20250327,114115,114112,2025-03-27T11:41:12,,False
75,75.0,NaCl,0.072,7.0,100.0,20250327,115023,115020,2025-03-27T11:50:20,,False
76,76.0,NaCl,0.072,9.0,100.0,20250327,120043,120041,2025-03-27T12:00:41,,False
77,77.0,NaCl,0.14,1.0,100.0,20250327,132138,132134,2025-03-27T13:21:34,,False
78,78.0,NaCl,0.14,3.0,100.0,20250327,133746,133743,2025-03-27T13:37:43,,False
79,79.0,NaCl,0.14,5.0,100.0,20250327,134740,134736,2025-03-27T13:47:36,,False
80,80.0,NaCl,0.14,7.0,100.0,20250327,135908,135905,2025-03-27T13:59:05,,False
81,81.0,NaCl,0.14,9.0,100.0,20250327,140817,140815,2025-03-27T14:08:15,,False
82,82.0,NaCl,0.26,1.0,100.0,20250327,143205,143203,2025-03-27T14:32:03,"FP: SKIP. Incomplete. Disk full..
PP: Wrote hardly anything because of reasons?",True
83,83.0,NaCl,0.26,3.0,100.0,20250327,144431,144421,2025-03-27T14:44:21,"FP: SKIP. No data. Disk full..
PP: Didn't write either. Moved to U: drive now.",True
84,84.0,NaCl,0.26,5.0,100.0,20250327,145749,145746,2025-03-27T14:57:46,"FP: SKIP. No data. Disk full..
PP: nan",True
85,85.0,NaCl,0.26,1.0,100.0,20250327,150432,150417,2025-03-27T15:04:17,"FP: SKIP. No data. Disk full..
PP: nan",True
86,86.0,NaCl,0.26,1.0,100.0,20250327,151735,151729,2025-03-27T15:17:29,"FP: Finally a normal-sized file again..
PP: nan",False
87,87.0,NaCl,0.26,3.0,100.0,20250327,152851,152847,2025-03-27T15:28:47,,False
88,88.0,NaCl,0.26,5.0,100.0,20250327,154000,153956,2025-03-27T15:39:56,,False
89,89.0,NaCl,0.26,7.0,100.0,20250327,154952,154948,2025-03-27T15:49:48,,False
90,90.0,NaCl,0.26,9.0,100.0,20250327,155841,155839,2025-03-27T15:58:39,,False
91,91.0,NaCl,0.5,1.0,100.0,20250328,94013,93949,2025-03-28T09:39:49,,False
92,92.0,NaCl,0.5,3.0,100.0,20250328,95756,95341,2025-03-28T09:53:41,"FP: Use PP log 095756.
PP: nan",False
93,93.0,NaCl,0.5,5.0,100.0,20250328,100341,100338,2025-03-28T10:03:38,,False
94,94.0,NaCl,0.5,7.0,100.0,20250328,101402,101359,2025-03-28T10:13:59,,False
95,95.0,NaCl,0.5,9.0,100.0,20250328,102405,102402,2025-03-28T10:24:02,,False
96,96.0,NaCl,0.5,1.0,100.0,20250328,103420,103406,2025-03-28T10:34:06,"FP: Redo of 093949. Smaller n_bubbles..
PP: nan",False
97,97.0,NH4Cl,0.0,1.0,100.0,20250331,102002,102000,2025-03-31T10:20:00,,False
98,98.0,NH4Cl,0.0,3.0,100.0,20250331,103500,103457,2025-03-31T10:34:57,,False
99,99.0,NH4Cl,0.0,5.0,100.0,20250331,104753,104751,2025-03-31T10:47:51,,False
100,100.0,NH4Cl,0.0,7.0,100.0,20250331,110118,105818,2025-03-31T10:58:18,"FP: Use 110118 as PP measurement..
PP: Recorded a bit late. Might not perfectly represent the measurement.",False
101,101.0,NH4Cl,0.0,9.0,100.0,20250331,111012,111010,2025-03-31T11:10:10,,False
102,102.0,NH4Cl,0.0004,1.0,100.0,20250331,112510,112507,2025-03-31T11:25:07,,False
103,103.0,NH4Cl,0.0004,3.0,100.0,20250331,113932,113929,2025-03-31T11:39:29,,False
104,104.0,NH4Cl,0.0004,5.0,100.0,20250331,115522,115520,2025-03-31T11:55:20,,False
105,105.0,NH4Cl,0.0004,7.0,100.0,20250331,120643,120639,2025-03-31T12:06:39,,False
106,106.0,NH4Cl,0.0004,9.0,100.0,20250331,121840,121838,2025-03-31T12:18:38,,False
107,107.0,NH4Cl,0.00077,1.0,100.0,20250331,132134,132131,2025-03-31T13:21:31,,False
108,108.0,NH4Cl,0.00077,3.0,100.0,20250331,134141,134138,2025-03-31T13:41:38,,False
109,109.0,NH4Cl,0.00077,5.0,100.0,20250331,135731,135729,2025-03-31T13:57:29,,False
110,110.0,NH4Cl,0.00077,7.0,100.0,20250331,140812,140809,2025-03-31T14:08:09,,False
111,111.0,NH4Cl,0.00077,9.0,100.0,20250331,142026,142024,2025-03-31T14:20:24,,False
112,112.0,NH4Cl,0.0015,1.0,100.0,20250331,143905,143903,2025-03-31T14:39:03,,False
113,113.0,NH4Cl,0.0015,3.0,100.0,20250331,145423,145420,2025-03-31T14:54:20,,False
114,114.0,NH4Cl,0.0015,5.0,100.0,20250331,150742,150740,2025-03-31T15:07:40,,False
115,115.0,NH4Cl,0.0015,7.0,100.0,20250331,151812,151810,2025-03-31T15:18:10,,False
116,116.0,NH4Cl,0.0015,9.0,100.0,20250331,153231,153228,2025-03-31T15:32:28,,False
117,117.0,NH4Cl,0.0028,1.0,100.0,20250331,154633,154629,2025-03-31T15:46:29,,False
118,118.0,NH4Cl,0.0028,3.0,100.0,20250331,160220,160216,2025-03-31T16:02:16,,False
119,119.0,NH4Cl,0.0028,5.0,100.0,20250331,161409,161407,2025-03-31T16:14:07,,False
120,120.0,NH4Cl,0.0028,7.0,100.0,20250331,162501,162457,2025-03-31T16:24:57,,False
121,121.0,NH4Cl,0.0028,9.0,100.0,20250331,164226,164223,2025-03-31T16:42:23,,False
122,122.0,NH4Cl,0.0053,1.0,100.0,20250401,90716,90712,2025-04-01T09:07:12,,False
123,123.0,NH4Cl,0.0053,3.0,100.0,20250401,92818,92815,2025-04-01T09:28:15,,False
124,124.0,NH4Cl,0.0053,5.0,100.0,20250401,93950,93946,2025-04-01T09:39:46,,False
125,125.0,NH4Cl,0.0053,7.0,100.0,20250401,95005,95002,2025-04-01T09:50:02,,False
126,126.0,NH4Cl,0.0053,9.0,100.0,20250401,100104,100101,2025-04-01T10:01:01,,False
127,127.0,NH4Cl,0.01,1.0,100.0,20250401,101850,101846,2025-04-01T10:18:46,,False
128,128.0,NH4Cl,0.01,3.0,100.0,20250401,103439,103436,2025-04-01T10:34:36,,False
129,129.0,NH4Cl,0.01,5.0,100.0,20250401,104613,104610,2025-04-01T10:46:10,,False
130,130.0,NH4Cl,0.01,7.0,100.0,20250401,105716,105714,2025-04-01T10:57:14,,False
131,131.0,NH4Cl,0.01,9.0,100.0,20250401,110804,110801,2025-04-01T11:08:01,,False
132,132.0,NH4Cl,0.02,1.0,100.0,20250401,112202,112159,2025-04-01T11:21:59,,False
133,133.0,NH4Cl,0.02,3.0,100.0,20250401,113713,113711,2025-04-01T11:37:11,,False
134,134.0,NH4Cl,0.02,5.0,100.0,20250401,114929,114926,2025-04-01T11:49:26,,False
135,135.0,NH4Cl,0.02,5.0,100.0,20250401,135529,135527,2025-04-01T13:55:27,"FP: Redo of 114926 after lunch. Fewer bubbles and shorter holdup..
PP: nan",False
136,136.0,NH4Cl,0.02,7.0,100.0,20250401,140006,140003,2025-04-01T14:00:03,,False
137,137.0,NH4Cl,0.02,9.0,100.0,20250401,141051,141048,2025-04-01T14:10:48,,False
138,138.0,NH4Cl,0.037,1.0,100.0,20250401,142513,142509,2025-04-01T14:25:09,,False
139,139.0,NH4Cl,0.037,3.0,100.0,20250401,144040,144037,2025-04-01T14:40:37,,False
140,140.0,NH4Cl,0.037,5.0,100.0,20250401,145415,145411,2025-04-01T14:54:11,,False
141,141.0,NH4Cl,0.037,7.0,100.0,20250401,150534,150531,2025-04-01T15:05:31,"FP: SKIP. Aborted due to decreasing FP signal. Analysis still goes fine. Redoing..
PP: nan",True
142,142.0,NH4Cl,0.037,7.0,100.0,20250401,150534,151111,2025-04-01T15:11:11,"FP: SKIP. Use PP 150534. Note that FP signal is now getting a bit weird. Keep an eye out for strange results. Many fragmented bubbles. Redo at higher laser intensity..
PP: nan",True
143,143.0,NH4Cl,0.037,9.0,100.0,20250401,152227,152222,2025-04-01T15:22:22,"FP: SKIP. Software froze halfway. Voltage seems to have dropped far enough to not recognize bubbles anymore..
PP: nan",True
144,144.0,NH4Cl,0.037,9.0,100.0,20250401,154221,154219,2025-04-01T15:42:19,,False
145,145.0,NH4Cl,0.037,7.0,100.0,20250401,155603,155555,2025-04-01T15:55:55,"FP: nan.
PP: Not logged on the day. Log as would be expected. Keep eye out for weirdness.",False
146,146.0,NH4Cl,0.0,5.0,50.0,20250403,95011,93138,2025-04-03T09:31:38,"FP: 50 l/min. Has no PP. Use PP 095011. Ignore warnings and SKIP. Short measurement. Took a while to realize the flowrate was not yet 100..
PP: nan",True
147,147.0,NH4Cl,0.0,5.0,100.0,20250403,95011,93531,2025-04-03T09:35:31,"FP: Has no PP. Use PP 095011. Ignore warnings and SKIP. Check for comparison with previous days. No PP in there..
PP: nan",True
148,148.0,NH4Cl,0.072,1.0,100.0,20250403,95011,95007,2025-04-03T09:50:07,"FP: FP signal seems to improve over the measurement..
PP: nan",False
149,149.0,NH4Cl,0.072,3.0,100.0,20250403,100707,100703,2025-04-03T10:07:03,"FP: FP signal is still improving over the measurement..
PP: nan",False
150,150.0,NH4Cl,0.072,5.0,100.0,20250403,101928,101923,2025-04-03T10:19:23,,False
151,151.0,NH4Cl,0.072,7.0,100.0,20250403,103204,103202,2025-04-03T10:32:02,,False
152,152.0,NH4Cl,0.072,9.0,100.0,20250403,104410,104408,2025-04-03T10:44:08,,False
153,153.0,NH4Cl,0.14,1.0,100.0,20250403,105829,105827,2025-04-03T10:58:27,,False
154,154.0,NH4Cl,0.14,3.0,100.0,20250403,111305,111302,2025-04-03T11:13:02,,False
155,155.0,NH4Cl,0.14,5.0,100.0,20250403,112423,112420,2025-04-03T11:24:20,,False
156,156.0,NH4Cl,0.14,7.0,100.0,20250403,113423,113420,2025-04-03T11:34:20,,False
157,157.0,NH4Cl,0.14,9.0,100.0,20250403,114659,114653,2025-04-03T11:46:53,,False
158,158.0,NH4Cl,0.26,1.0,100.0,20250403,115956,115953,2025-04-03T11:59:53,,False
159,159.0,NH4Cl,0.26,3.0,100.0,20250403,121340,121334,2025-04-03T12:13:34,,False
160,160.0,NH4Cl,0.26,5.0,100.0,20250403,122408,122402,2025-04-03T12:24:02,,False
161,161.0,NH4Cl,0.26,5.0,100.0,20250403,132044,132014,2025-04-03T13:20:14,"FP: PP 132044. Same setup. Less bubbles. After lunch..
PP: nan",False
162,162.0,NH4Cl,0.26,7.0,100.0,20250403,132533,132527,2025-04-03T13:25:27,,False
163,163.0,NH4Cl,0.26,9.0,100.0,20250403,133511,133505,2025-04-03T13:35:05,"FP: FP signal dipped strongly at the end. No effect at processing..
PP: nan",False
164,164.0,NH4Cl,0.5,1.0,100.0,20250403,135506,135503,2025-04-03T13:55:03,"FP: FP signal restored somewhat. Things are getting wonky..
PP: nan",False
165,165.0,NH4Cl,0.5,3.0,100.0,20250403,140804,140800,2025-04-03T14:08:00,,False
166,166.0,NH4Cl,0.5,5.0,100.0,20250403,141825,141822,2025-04-03T14:18:22,,False
167,167.0,NH4Cl,0.5,7.0,100.0,20250403,142804,142801,2025-04-03T14:28:01,,False
168,168.0,NH4Cl,0.5,9.0,100.0,20250403,143808,143805,2025-04-03T14:38:05,,False
169,169.0,NaAc,0.0,1.0,100.0,20250404,92426,92413,2025-04-04T09:24:13,,False
170,170.0,NaAc,0.0,3.0,100.0,20250404,93943,93941,2025-04-04T09:39:41,,False
171,171.0,NaAc,0.0,5.0,100.0,20250404,95110,95106,2025-04-04T09:51:06,,False
172,172.0,NaAc,0.0,7.0,100.0,20250404,100152,100147,2025-04-04T10:01:47,,False
173,173.0,NaAc,0.0,9.0,100.0,20250404,101237,101233,2025-04-04T10:12:33,,False
174,174.0,NaAc,0.00042,1.0,100.0,20250404,103101,103058,2025-04-04T10:30:58,,False
175,175.0,NaAc,0.00042,3.0,100.0,20250404,104706,104655,2025-04-04T10:46:55,,False
176,176.0,NaAc,0.00042,5.0,100.0,20250404,105826,105824,2025-04-04T10:58:24,,False
177,177.0,NaAc,0.00042,7.0,100.0,20250404,110944,110941,2025-04-04T11:09:41,,False
178,178.0,NaAc,0.00042,9.0,100.0,20250404,112036,112034,2025-04-04T11:20:34,,False
179,179.0,NaAc,0.0008,7.0,100.0,20250404,113446,113444,2025-04-04T11:34:44,,False
180,180.0,NaAc,0.0008,1.0,100.0,20250404,114804,114802,2025-04-04T11:48:02,,False
181,181.0,NaAc,0.0008,3.0,100.0,20250404,134947,134945,2025-04-04T13:49:45,,False
182,182.0,NaAc,0.0008,5.0,100.0,20250404,140237,140235,2025-04-04T14:02:35,,False
183,183.0,NaAc,0.0008,9.0,100.0,20250404,141654,141653,2025-04-04T14:16:53,,False
184,184.0,NaAc,0.0017,1.0,100.0,20250404,143150,143148,2025-04-04T14:31:48,,False
185,185.0,NaAc,0.0017,3.0,100.0,20250404,144643,144641,2025-04-04T14:46:41,,False
186,186.0,NaAc,0.0017,5.0,100.0,20250404,150248,150247,2025-04-04T15:02:47,,False
187,187.0,NaAc,0.0017,7.0,100.0,20250404,151333,151331,2025-04-04T15:13:31,,False
188,188.0,NaAc,0.0017,9.0,100.0,20250404,152949,152947,2025-04-04T15:29:47,,False
189,189.0,NaAc,0.0034,1.0,100.0,20250404,154546,154544,2025-04-04T15:45:44,,False
190,190.0,NaAc,0.0034,3.0,100.0,20250404,154546,154544,2025-04-04T15:45:44,,False
191,191.0,NaAc,0.0034,5.0,100.0,20250404,161538,161536,2025-04-04T16:15:36,,False
192,192.0,NaAc,0.0034,7.0,100.0,20250404,162603,162601,2025-04-04T16:26:01,,False
193,193.0,NaAc,0.0034,9.0,100.0,20250404,163636,163634,2025-04-04T16:36:34,,False
194,194.0,NaAc,0.0,5.0,100.0,20250407,94247,94244,2025-04-07T09:42:44,"FP: Recheck of water..
PP: Recheck of water.",False
195,195.0,NaAc,0.0069,1.0,100.0,20250407,95447,95445,2025-04-07T09:54:45,,False
196,196.0,NaAc,0.0069,3.0,100.0,20250407,100932,100930,2025-04-07T10:09:30,,False
197,197.0,NaAc,0.0069,5.0,100.0,20250407,102315,102313,2025-04-07T10:23:13,,False
198,198.0,NaAc,0.0069,7.0,100.0,20250407,103434,103430,2025-04-07T10:34:30,,False
199,199.0,NaAc,0.0069,9.0,100.0,20250407,104525,104523,2025-04-07T10:45:23,,False
200,200.0,NaAc,0.014,1.0,100.0,20250407,105857,105854,2025-04-07T10:58:54,,False
201,201.0,NaAc,0.014,3.0,100.0,20250407,111714,111712,2025-04-07T11:17:12,,False
202,202.0,NaAc,0.014,5.0,100.0,20250407,112828,112825,2025-04-07T11:28:25,,False
203,203.0,NaAc,0.014,7.0,100.0,20250407,113917,113914,2025-04-07T11:39:14,,False
