,pGM,ionS,D
0,160.4743584514332,0.0025819659141928,99.13448910262912
1,359.2289890049951,0.0078026282968275,97.98391098949604
2,585.1801777468693,0.0153148010395672,97.06858118945712
3,839.8596994366173,0.0252227278974515,97.28112721779112
4,1117.531397454668,0.0373131384245558,92.55247161528948
5,1363.5498077699249,0.048895240888816,86.92789831131192
6,1806.562787064186,0.0713713073943844,81.30069285837666
7,2216.7543689342665,0.093581861119783,70.28284634007912
8,2590.1059571743954,0.1147238776275279,57.6936068940368
9,2937.2505846771237,0.1350319968253683,47.35255167648694
10,3164.3804307592764,0.1486132546381572,34.54122466213899
11,3558.7406002003163,0.172634050728285,21.27914213878552
12,3797.1448344272626,0.1873813121072426,11.838939902007269
13,4008.7346525597977,0.2006387079714211,3.5226652701654046
14,4417.465353415602,0.2265688896847997,1.9466660817446664
15,5202.773597208126,0.2774188621647643,0.1439730643423189
16,6073.091477360845,0.3350806588843752,-0.3100726308603043
17,7432.687017874435,0.4271151653132052,0.1334444685115272
