,pGM,ionS,D
0,695.7886206057597,0.0190692989844315,97.29729729729728
1,989.1025582599191,0.0308702217353588,94.32432432432432
2,1295.552241910481,0.0445179917701317,88.1081081081081
3,1516.4993203420377,0.0550282591729173,81.62162162162161
4,1791.0604017285154,0.068678386531319,72.43243243243242
5,2071.913591542192,0.0832725937319366,59.72972972972972
6,2246.2813513457168,0.092582136065286,50.81081081081081
7,2509.72887428811,0.1069765783681152,43.24324324324323
8,2785.909322135785,0.1224238713288687,33.5135135135135
9,2936.018361739677,0.1309648686534079,27.567567567567565
10,3190.1561782449244,0.1456062162357259,19.729729729729726
11,3520.683023500665,0.1650339223947796,13.243243243243242
12,3771.3518110951686,0.179982435990815,7.297297297297291
13,4104.634690861698,0.2001037512041927,4.86486486486487
14,4469.663489291546,0.2224745488389373,2.702702702702694
15,4794.189929752299,0.2426259441995549,1.621621621621614
16,5145.136364038037,0.2646026213153179,0.2702702702702737
17,5568.739824062863,0.2913635006741758,0.2702702702702737
18,5933.856818677385,0.3147081208719529,-0.5405405405405475
