,pGM,ionS,D
0,165.58961249519666,0.0453841039921133,100.54054054054052
1,277.02346871746437,0.0882280528286902,99.72972972972973
2,324.09732726939535,0.1039289169918373,98.9189189189189
3,411.7965252141264,0.1309648686534079,100.27027027027026
4,495.8957446034016,0.1542710796253778,102.16216216216216
5,596.2696743135552,0.179982435990815,98.9189189189189
6,665.0967670236432,0.1962849624800077,100.8108108108108
7,782.189828189064,0.2224745488389373,99.45945945945944
8,900.5356885210247,0.2473463120168211,101.08108108108108
9,987.328757454043,0.2646026213153179,100.8108108108108
10,1083.6809598696932,0.2830628305554681,100.0
11,1276.446203869229,0.3177547491400375,101.08108108108108
12,1406.6002996119532,0.3399231582322004,100.8108108108108
13,1550.4945626401136,0.3636381637576424,99.18918918918918
