,pGM,ionS,D
0,28.446464351796134,0.004855036157379,98.9189189189189
1,206.48656792533333,0.0145606216235726,98.9189189189189
2,447.6036775256594,0.0235713760894575,98.1081081081081
3,907.82186996346,0.0377925205362321,92.97297297297295
4,1473.9838510468062,0.0529479771036575,84.32432432432431
5,2170.2410932601433,0.0700145472069374,64.86486486486486
6,2779.0767569454047,0.0840787395578452,52.16216216216215
7,3404.2397207054128,0.0980915956341627,36.75675675675674
8,4148.215264920557,0.1144398831934951,27.027027027027017
9,4962.781719953726,0.1322327141410298,14.594594594594597
10,5791.902100356872,0.1498760427114743,7.567567567567565
11,7038.909385660825,0.1765476433246262,4.054054054054049
12,8475.750317174823,0.2079656614865582,2.702702702702694
13,10473.301015535784,0.2521585161478168,2.1621621621621614
14,13263.479444063227,0.3177547491400375,1.0810810810810807
15,16159.081576544511,0.392773572972238,-0.2702702702702737
