,pGM,ionS,D
0,639.8968405137462,0.0267033006666066,99.07200000000002
1,822.4955125915793,0.0361248481233482,96.768
2,999.4083555866808,0.0454635533660298,95.80800000000002
3,1199.6539256544354,0.0560998270089056,92.928
4,1331.1523566027524,0.063141766650862,90.81600000000002
5,1528.8619288991617,0.073924830604406,87.74400000000001
6,1640.3387239184522,0.0799884244721658,83.32800000000002
7,1804.4122750155448,0.0888538428399708,79.48800000000003
8,1948.1609204013885,0.0967756477703142,73.92000000000002
9,2104.470041355168,0.1054037248364328,67.96800000000002
10,2235.908913888999,0.1125606595134706,63.55200000000002
11,2387.8970734618347,0.12099581983442,59.712
12,2550.816849489851,0.1300631009153904,53.95200000000001
13,2724.9883279911064,0.139809873125177,50.49600000000001
14,2844.3479539721393,0.1463892921912826,46.46400000000001
15,3001.7256635850913,0.1553055279700316,42.816
16,3150.055748196787,0.1636859678752922,37.632000000000005
17,3327.1164245352084,0.1736557044687432,34.176
18,3471.5202759593303,0.1818279002327484,27.840000000000003
19,3645.14959216694,0.1916395135791468,22.848000000000013
20,3827.429571436795,0.2019805712865922,18.048000000000016
21,4064.772752561911,0.2156950937759268,13.632000000000003
22,4344.704435083353,0.2318590244450114,8.447999999999993
23,4698.395936323772,0.2525305216395804,3.8400000000000176
24,5144.1850030291125,0.278682617878574,2.8799999999999955
25,5598.919795581846,0.3055292684499602,0.0
